CASO NÚMERO,ESTADO DEL CASO,COORDENADAS , EXHUMACION,ESTADO DEL PROCESO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,COORDENADAS
CIH-0001-14,PEND.RESULT.GENETICA,"-76,74591667","5,224833333",IDENTIF_NO_ENTREGADO,CHOCÓ,ISTMINA,5.224833333,-76.74591667,"5.224833333,-76.74591667"
CIH-0001-15,CERRADO,"-75,9052778","6,43722222",IDENTIF_ENTREGADO,ANTIOQUIA,MEDELLÍN,6.43722222,-75.9052778,"6.43722222,-75.9052778"
CIH-0001-17,PEND.RESULT.GENETICA,-75.426944,"5,79055",NO_IDENTIFICADO,ANTIOQUIA,ABEJORRAL,5.79055,-75.426944,"5.79055,-75.426944"
CIH-0002-14,CERRADO,"-76,7451667","5,224833333",,CHOCÓ,ISTMINA,5.224833333,-76.7451667,"5.224833333,-76.7451667"
CIH-0002-15,CERRADO,"-75,9052778","6,43722222",,ANTIOQUIA,MEDELLÍN,6.43722222,-75.9052778,"6.43722222,-75.9052778"
CIH-0002-16,CERRADO,"-76,4582778","8,23116667",IDENTIF_ENTREGADO,ANTIOQUIA,TURBO,8.23116667,-76.4582778,"8.23116667,-76.4582778"
CIH-0002-17,PEND.RESULT.GENETICA,-75.426944,"5,79055",NO_IDENTIFICADO,ANTIOQUIA,ABEJORRAL,5.79055,-75.426944,"5.79055,-75.426944"
CIH-0003-14,PEND.RESULT.GENETICA,"-75,23794444","5,603805556",NO_IDENTIFICADO,ANTIOQUIA,NARIÑO,5.603805556,-75.23794444,"5.603805556,-75.23794444"
CIH-0003-15,CERRADO,"-76,28861111 ","8,428611111",NO_IDENTIFICADO,ANTIOQUIA,SAN PEDRO DE URABA,8.428611111,-76.28861111 ,"8.428611111,-76.28861111 "
CIH-0003-16,CERRADO,"-76,4582778","8,23116667",,ANTIOQUIA,TURBO,8.23116667,-76.4582778,"8.23116667,-76.4582778"
CIH-0003-17,CERRADO,"-75,6860278","6,20369444",IDENTIF_ENTREGADO,ANTIOQUIA,MEDELLÍN,6.20369444,-75.6860278,"6.20369444,-75.6860278"
CIH-0004-14,CERRADO,"-75,51188333","7,644616667",IDENTIF_ENTREGADO,ANTIOQUIA,TARAZÁ,7.644616667,-75.51188333,"7.644616667,-75.51188333"
CIH-0004-15,CERRADO,"-76,60883333","8,360833333",,ANTIOQUIA,NECOCLÍ,8.360833333,-76.60883333,"8.360833333,-76.60883333"
CIH-0004-16,CERRADO,"-74,8015139","6,07927778",IDENTIF_ENTREGADO,ANTIOQUIA,SAN LUIS,6.07927778,-74.8015139,"6.07927778,-74.8015139"
CIH-0004-17,PEND.RESULT.GENETICA,"-75,9155556","6,05625",NO_IDENTIFICADO,ANTIOQUIA,BETULIA,6.05625,-75.9155556,"6.05625,-75.9155556"
CIH-0005-14,CERRADO,"-75,51188333","7,644616667",,ANTIOQUIA,TARAZÁ,7.644616667,-75.51188333,"7.644616667,-75.51188333"
CIH-0005-15,CERRADO,"-76,65716667","8,341972222",,ANTIOQUIA,NECOCLÍ,8.341972222,-76.65716667,"8.341972222,-76.65716667"
CIH-0005-16,CERRADO,"-74,8015139","6,07927778",,ANTIOQUIA,SAN LUIS,6.07927778,-74.8015139,"6.07927778,-74.8015139"
CIH-0005-17,PEND.RESULT.GENETICA,"-75,9155556","6,05625",NO_IDENTIFICADO,ANTIOQUIA,BETULIA,6.05625,-75.9155556,"6.05625,-75.9155556"
CIH-0006-14,CERRADO,"-75,40675","6,40236111",IDENTIF_ENTREGADO,ANTIOQUIA,COCORNÁ,6.40236111,-75.40675,"6.40236111,-75.40675"
CIH-0006-15,CERRADO,"-76,28861111 ","8,428611111",MUESTRA,ANTIOQUIA,SAN PEDRO DE URABA,8.428611111,-76.28861111 ,"8.428611111,-76.28861111 "
CIH-0006-16,CERRADO,"-76,2691389","7,00347222",IDENTIF_ENTREGADO,ANTIOQUIA,DABEIBA,7.00347222,-76.2691389,"7.00347222,-76.2691389"
CIH-0006-17,CERRADO,"-74,9315693","6,15816389",,ANTIOQUIA,SAN CARLOS,6.15816389,-74.9315693,"6.15816389,-74.9315693"
CIH-0007-14,CERRADO,"-75,40888889","6,104166667",IDENTIF_ENTREGADO,ANTIOQUIA,YARUMAL,6.104166667,-75.40888889,"6.104166667,-75.40888889"
CIH-0007-15,CERRADO,"-77,49222222","6,806388889",IDENTIF_ENTREGADO,CHOCÓ,BAHÍA SOLANO,6.806388889,-77.49222222,"6.806388889,-77.49222222"
CIH-0007-16,CERRADO,"-76,2691389","7,00347222",,ANTIOQUIA,DABEIBA,7.00347222,-76.2691389,"7.00347222,-76.2691389"
CIH-0007-17,CERRADO,-75.426944,"5,79055",,ANTIOQUIA,ABEJORRAL,5.79055,-75.426944,"5.79055,-75.426944"
CIH-0008-14,CERRADO,"-76,30638889","8,373611111",,ANTIOQUIA,SAN PEDRO DE URABA,8.373611111,-76.30638889,"8.373611111,-76.30638889"
CIH-0008-15,CERRADO,"-76,82583333","5,120833333",IDENTIF_ENTREGADO,CHOCÓ,MEDIO BAUDÓ,5.120833333,-76.82583333,"5.120833333,-76.82583333"
CIH-0008-16,CERRADO,"-75,52388","5,9447222",IDENTIF_ENTREGADO,ANTIOQUIA,MONTEBELLO,5.9447222,-75.52388,"5.9447222,-75.52388"
CIH-0008-17,CERRADO,"-75,085","6,59488889",IDENTIF_ENTREGADO,ANTIOQUIA,AMALFI,6.59488889,-75.085,"6.59488889,-75.085"
CIH-0009-14,CERRADO,"-76,30638889","8,373611111",,ANTIOQUIA,SAN PEDRO DE URABA,8.373611111,-76.30638889,"8.373611111,-76.30638889"
CIH-0009-15,CERRADO,"-77,76833333","7,110833333",NO_IDENTIFICADO,CHOCÓ,JURADÓ,7.110833333,-77.76833333,"7.110833333,-77.76833333"
